,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-26 05:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 05:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 06:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 07:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 08:50:00+00:00,0.23145,4503599600.0,4503599600.0,4503599600.0,4503599600.0,0.0
2022-08-26 09:00:00+00:00,0.23145,4503599600.0,4503599600.0,4503599600.0,4503599600.0,0.0
2022-08-26 09:10:00+00:00,0.23145,4503599600.0,4503599600.0,4503599600.0,4503599600.0,0.0
2022-08-26 09:20:00+00:00,0.23145,4503599600.0,4503599600.0,4503599600.0,4503599600.0,0.0
2022-08-26 09:30:00+00:00,0.23145,0.324791,4503599600.0,4503599600.0,4503599600.0,0.0
2022-08-26 09:40:00+00:00,0.23145,0.326488,0.435957,0.280229,0.279455,41.333
2022-08-26 09:50:00+00:00,0.23145,0.32748,0.437399,0.281164,0.280452,20.787
2022-08-26 10:00:00+00:00,0.23145,0.328347,0.438689,0.282004,0.281348,26.552
2022-08-26 10:10:00+00:00,0.23145,0.33018,0.441392,0.283602,0.283281,67.041
2022-08-26 10:20:00+00:00,0.23145,0.33276,0.44523,0.285885,0.286017,74.267
2022-08-26 10:30:00+00:00,0.23145,0.33557,0.449362,0.288474,0.288996,83.648
2022-08-26 10:40:00+00:00,0.23145,0.338317,0.453531,0.291204,0.29202,75.752
2022-08-26 10:50:00+00:00,0.23145,0.341436,0.458123,0.294255,0.295314,83.243
2022-08-26 11:00:00+00:00,0.23145,0.344466,0.462606,0.297269,0.298517,92.69
2022-08-26 11:10:00+00:00,0.23145,0.346512,0.465599,0.299276,0.300607,43.155
